1,信朴8号,P049400,,
2,圭源金湖无量启航,P076875,,
3,塞帕思香农一号,P072643,,
4,达尔文明德一号,P076666,,
5,千象安远1号,P054402,,
6,致远三号,P018090,,
7,九坤量化混合2号,P016623,,
8,明汯中性1号1期,P076767,,
9,中粮-平方和玖信9号,P114443,,
10,外贸信托-安进13期壹心1号,P006695,,
11,九章幻方量化对冲1号,P053346,,
12,锝金一号,P001689,,
13,保银中国价值（AH）,P022987,,
14,盈峰量化1号,P005502,,
15,和棋天阳二号,P094408,,
16,长丰众乐对冲尊享A期,P043809,,
17,华润大岩绝对,P003963,,
18,淘利多策略对冲1号,P015362,,
19,诚奇管理2号,P019913,,
20,杉树欣欣,P026314,,
21,对冲精英之睿策A,P093752,,
22,艾叶慧创魔方2期,P016718,,
23,保银石榴红了,P029951,,
24,念空裕龙1号多策略,P088445,,
25,富善优享11号,P028043,,
26,东方汇智-博普量化阿尔法5号,P053954,,
27,风禾资产5号（择时对冲）,P021006,,
28,尊嘉ALPHA,P001232,,
29,稳进10期雁丰对冲尊享A期,P041121,,
30,明溪2号,P016373,,
31,证大金马量化中性1号,P017906,,
32,富善汇远10期（择时调仓）,P075107,,
