1,信朴7号,P054375,,,,
2,信合全球,P003129,,,,
3,珺牛量子3号,P026188,,,,
4,九坤cta专享2号,P050238,,,,
5,思瑞2号,P043227,,,,
6,陆家嘴财富黑翼cta1期,P016920,,,,
7,成也量化十期,P043990,,,,
8,中信宏量,P103816,,,,
9,明得浩伦cta一号,P019022,,,,
10,陆家嘴财富尊享cta1期,P042395,,,,
11,九鞅禾禧二号,P021480,,,,
12,中金浦泰宽立cta,P037645,,,,
13,易善万枝稳隆一号,P028457,,,,
14,中金睿投丰融4号,P051343,,,,
15,珺马cta一号,P013310,,,,
16,量金优利cta一号,P022693,,,,
17,双隆隆富2号,P073352,,,,
18,千象1期,P016614,,,,
19,明汯cta一号1期,P015173,,,,
20,富善致远cta八期,P008046,,,,
21,汇智圆通全球绝对收益,P024627,,,,
22,展弘稳进1号,P017359,,,,
23,博普跨市场1号,P048549,,,,
24,博普多策略1期,P029711,,,,
25,盛冠达朝阳1号,P035795,,,,
26,陆家嘴财富博普多策略1期,P029711,,,,
27,外贸信托嘉理商品对冲尊享A期,P084242,,,,
28,嘉理红利,P042771,,,,
29,中信宏量,P103816,,,,
30,招商基金聊塑投资全球套利1号,P077374,,,,
31,鹏华-信和东方,P004345,,,,
